,height,weight,label,predict
0,140,45,normal,fat
1,145,72,fat,fat
2,150,61,fat,thin
3,137,56,fat,normal
4,192,48,thin,normal
5,175,77,fat,normal
6,127,39,normal,normal
7,152,38,thin,thin
8,184,38,thin,fat
9,186,41,thin,normal
10,188,60,thin,thin
11,181,43,thin,thin
12,200,75,normal,normal
13,146,65,fat,normal
14,198,54,thin,fat
15,133,70,fat,thin
16,188,80,normal,thin
17,156,49,normal,normal
18,200,63,thin,fat
19,182,64,normal,thin
20,139,60,fat,normal
21,134,57,fat,thin
22,123,48,fat,thin
23,164,65,normal,normal
24,136,44,normal,normal
25,184,68,normal,fat
26,187,64,thin,normal
27,194,71,normal,normal
28,189,65,thin,fat
29,141,56,fat,thin
30,128,76,fat,fat
31,155,65,fat,fat
32,195,64,thin,thin
33,134,51,fat,normal
34,146,56,fat,fat
35,184,49,thin,fat
36,149,47,normal,thin
37,180,38,thin,fat
38,184,51,thin,normal
39,134,39,normal,normal
40,122,80,fat,thin
41,173,45,thin,normal
42,196,38,thin,fat
43,196,48,thin,thin
44,156,73,fat,normal
45,196,68,thin,thin
46,172,58,normal,fat
47,156,67,fat,thin
48,179,41,thin,fat
49,190,70,normal,thin
50,156,44,thin,fat
51,166,61,normal,normal
52,149,63,fat,normal
53,132,48,fat,normal
54,184,44,thin,thin
55,137,70,fat,fat
56,195,60,thin,fat
57,178,73,normal,fat
58,159,42,thin,fat
59,141,37,normal,thin
60,123,61,fat,normal
61,146,35,thin,fat
62,146,48,normal,fat
63,164,36,thin,normal
64,153,62,fat,fat
65,200,40,thin,thin
66,189,57,thin,thin
67,128,41,fat,normal
68,189,41,thin,thin
69,177,57,thin,normal
70,130,58,fat,fat
71,148,63,fat,normal
72,146,60,fat,fat
73,134,42,normal,fat
74,143,52,fat,normal
75,149,71,fat,normal
76,141,36,thin,thin
77,167,55,normal,fat
78,131,60,fat,normal
79,132,75,fat,fat
80,158,42,thin,fat
81,184,36,thin,normal
82,143,79,fat,fat
83,194,39,thin,thin
84,163,49,thin,normal
85,134,53,fat,thin
86,193,41,thin,normal
87,137,41,normal,thin
88,155,51,normal,fat
89,132,37,normal,thin
90,127,73,fat,fat
91,124,59,fat,normal
92,169,66,normal,normal
93,140,69,fat,thin
94,131,40,normal,fat
95,165,57,normal,thin
96,169,72,fat,thin
97,188,80,normal,thin
98,175,48,thin,normal
99,122,79,fat,fat
100,138,54,fat,fat
101,144,50,normal,normal
102,176,70,normal,normal
103,171,76,fat,thin
104,179,63,normal,fat
105,186,74,normal,thin
106,169,43,thin,normal
107,190,45,thin,fat
108,176,40,thin,fat
109,191,52,thin,thin
110,191,40,thin,fat
111,155,36,thin,thin
112,142,38,normal,fat
113,172,47,thin,fat
114,188,63,thin,thin
115,150,68,fat,thin
116,131,60,fat,fat
117,135,40,normal,thin
118,138,52,fat,fat
119,137,76,fat,thin
120,145,74,fat,fat
121,153,75,fat,normal
122,179,61,normal,fat
123,140,67,fat,thin
124,172,62,normal,normal
125,160,48,normal,thin
126,149,36,thin,normal
127,200,57,thin,thin
128,196,41,thin,normal
129,162,57,normal,thin
130,127,49,fat,normal
131,165,64,normal,normal
132,168,39,thin,fat
133,192,66,thin,thin
134,175,39,thin,fat
135,125,35,normal,normal
136,157,63,fat,fat
137,132,68,fat,fat
138,173,56,normal,thin
139,169,44,thin,fat
140,158,52,normal,thin
141,153,57,normal,thin
142,144,68,fat,normal
143,172,70,normal,fat
144,159,51,normal,thin
145,177,74,normal,normal
146,171,52,thin,normal
147,171,57,normal,thin
148,140,73,fat,fat
149,188,77,normal,thin
150,166,38,thin,normal
151,164,69,fat,thin
152,164,37,thin,thin
153,163,36,thin,thin
154,189,65,thin,fat
155,134,78,fat,thin
156,166,37,thin,fat
157,128,47,fat,normal
158,167,65,normal,normal
159,180,39,thin,normal
160,151,70,fat,fat
161,152,78,fat,normal
162,141,47,normal,thin
163,131,74,fat,fat
164,176,70,normal,normal
165,162,45,thin,fat
166,191,46,thin,thin
167,145,65,fat,fat
168,197,66,thin,thin
169,191,46,thin,fat
170,179,64,normal,normal
171,142,43,normal,thin
172,147,71,fat,fat
173,172,62,normal,normal
174,138,61,fat,fat
175,148,47,normal,thin
176,120,57,fat,normal
177,197,78,normal,fat
178,194,63,thin,fat
179,169,79,fat,fat
180,135,49,fat,thin
181,164,39,thin,thin
182,179,60,normal,thin
183,181,45,thin,normal
184,160,46,thin,normal
185,176,71,normal,fat
186,153,76,fat,thin
187,133,44,normal,fat
188,184,55,thin,thin
189,143,36,thin,thin
190,194,52,thin,fat
191,130,64,fat,normal
192,153,59,fat,fat
193,126,78,fat,fat
194,129,46,fat,normal
195,180,51,thin,normal
196,175,57,normal,normal
197,153,38,thin,fat
198,180,41,thin,thin
199,170,56,normal,thin
200,182,64,normal,fat
201,161,70,fat,thin
202,128,54,fat,fat
203,166,49,thin,normal
204,198,66,thin,thin
205,196,66,thin,normal
206,170,40,thin,thin
207,149,49,normal,fat
208,164,44,thin,normal
209,172,35,thin,thin
210,171,45,thin,fat
211,162,35,thin,normal
212,132,80,fat,thin
213,147,54,normal,normal
214,155,56,normal,thin
215,146,73,fat,thin
216,188,79,normal,fat
217,134,69,fat,thin
218,156,41,thin,normal
219,165,35,thin,normal
220,122,61,fat,thin
221,185,44,thin,thin
222,175,61,normal,thin
223,169,69,normal,normal
224,138,44,normal,thin
225,199,58,thin,fat
226,149,40,thin,normal
227,180,58,thin,fat
228,196,77,normal,thin
229,198,45,thin,normal
230,199,68,thin,thin
231,192,54,thin,fat
232,167,73,fat,normal
233,173,50,thin,normal
234,123,45,fat,normal
235,179,55,thin,fat
236,190,49,thin,thin
237,199,50,thin,fat
238,182,53,thin,fat
239,175,39,thin,normal
240,146,58,fat,normal
241,180,75,normal,thin
242,156,58,normal,thin
243,187,62,thin,thin
244,193,46,thin,fat
245,184,54,thin,fat
246,200,53,thin,thin
247,160,66,fat,normal
248,195,61,thin,fat
249,184,63,normal,fat
250,125,67,fat,normal
251,156,35,thin,fat
252,159,42,thin,thin
253,155,71,fat,fat
254,185,47,thin,thin
255,195,36,thin,fat
256,123,53,fat,fat
257,181,65,normal,normal
258,169,74,fat,fat
259,121,57,fat,fat
260,124,70,fat,fat
261,176,74,normal,normal
262,137,35,normal,fat
263,177,51,thin,normal
264,124,66,fat,thin
265,172,72,normal,thin
266,151,44,normal,fat
267,178,57,thin,normal
268,125,64,fat,fat
269,150,48,normal,normal
270,146,44,normal,thin
271,146,65,fat,normal
272,135,65,fat,fat
273,188,51,thin,normal
274,172,51,thin,thin
275,193,49,thin,fat
276,145,64,fat,thin
277,131,59,fat,fat
278,195,76,normal,normal
279,127,36,normal,thin
280,140,77,fat,normal
281,179,39,thin,thin
282,171,50,thin,normal
283,198,40,thin,fat
284,173,73,normal,normal
285,121,52,fat,fat
286,122,44,fat,normal
287,124,80,fat,fat
288,132,46,fat,fat
289,120,74,fat,thin
290,144,56,fat,fat
291,191,44,thin,fat
292,145,41,normal,fat
293,136,51,fat,fat
294,145,60,fat,thin
295,151,39,thin,normal
296,129,45,fat,normal
297,121,71,fat,thin
298,200,69,thin,thin
299,145,41,normal,fat
300,188,63,thin,normal
301,145,45,normal,normal
302,191,67,thin,normal
303,148,72,fat,normal
304,179,50,thin,normal
305,181,53,thin,fat
306,196,37,thin,thin
307,197,73,normal,fat
308,152,60,fat,normal
309,123,68,fat,normal
310,163,75,fat,fat
311,181,75,normal,fat
312,183,56,thin,thin
313,194,66,thin,normal
314,133,47,fat,normal
315,169,62,normal,fat
316,161,76,fat,normal
317,157,37,thin,normal
318,150,62,fat,normal
319,159,45,thin,fat
320,185,39,thin,normal
321,152,75,fat,fat
322,193,66,thin,thin
323,135,55,fat,fat
324,148,59,fat,normal
325,169,65,normal,fat
326,165,55,normal,fat
327,163,46,thin,fat
328,125,78,fat,thin
329,160,65,fat,thin
330,196,76,normal,fat
331,163,65,normal,normal
332,195,36,thin,normal
333,147,79,fat,thin
334,177,37,thin,normal
335,154,43,thin,fat
336,124,48,fat,thin
337,192,75,normal,normal
338,132,74,fat,normal
339,125,47,fat,thin
340,178,73,normal,thin
341,175,62,normal,fat
342,162,70,fat,thin
343,150,41,thin,fat
344,152,71,fat,fat
345,159,46,thin,normal
346,192,65,thin,fat
347,176,78,fat,fat
348,150,58,fat,thin
349,128,67,fat,normal
350,120,70,fat,fat
351,177,70,normal,fat
352,157,78,fat,fat
353,163,50,normal,normal
354,128,64,fat,normal
355,147,73,fat,fat
356,136,68,fat,thin
357,141,46,normal,fat
358,185,61,thin,fat
359,148,55,fat,normal
360,133,64,fat,fat
361,130,80,fat,fat
362,152,49,normal,normal
363,120,64,fat,fat
364,192,49,thin,thin
365,149,49,normal,normal
366,148,75,fat,thin
367,137,59,fat,fat
368,160,78,fat,thin
369,181,78,normal,fat
370,200,39,thin,normal
371,133,35,normal,normal
372,184,38,thin,fat
373,188,44,thin,fat
374,135,72,fat,normal
375,170,44,thin,normal
376,147,35,thin,thin
377,131,52,fat,thin
378,179,47,thin,fat
379,186,47,thin,thin
380,199,57,thin,fat
381,192,52,thin,normal
382,120,48,fat,fat
383,146,68,fat,thin
384,180,64,normal,fat
385,129,68,fat,normal
386,140,52,fat,fat
387,159,47,normal,normal
388,182,62,normal,normal
389,137,77,fat,fat
390,152,45,normal,thin
391,123,80,fat,normal
392,138,35,thin,fat
393,189,58,thin,fat
394,147,45,normal,thin
395,168,48,thin,normal
396,134,67,fat,thin
397,124,44,fat,fat
398,185,55,thin,thin
399,189,60,thin,normal
400,176,55,thin,thin
401,124,79,fat,thin
402,141,59,fat,normal
403,172,41,thin,fat
404,196,78,normal,thin
405,132,54,fat,normal
406,174,41,thin,thin
407,180,74,normal,thin
408,136,41,normal,thin
409,139,51,fat,fat
410,196,52,thin,fat
411,136,54,fat,fat
412,147,59,fat,fat
413,129,48,fat,thin
414,195,71,normal,fat
415,196,70,thin,fat
416,150,36,thin,normal
417,175,53,thin,thin
418,174,36,thin,fat
419,192,57,thin,fat
420,193,80,normal,fat
421,183,78,normal,normal
422,164,74,fat,fat
423,177,54,thin,normal
424,124,72,fat,normal
425,178,78,normal,normal
426,130,59,fat,thin
427,158,60,normal,normal
428,142,62,fat,thin
429,130,80,fat,normal
430,170,39,thin,fat
431,175,79,fat,fat
432,149,68,fat,fat
433,197,44,thin,fat
434,136,61,fat,fat
435,120,56,fat,thin
436,151,77,fat,thin
437,183,80,normal,fat
438,157,78,fat,fat
439,170,40,thin,thin
440,146,76,fat,thin
441,188,74,normal,thin
442,132,48,fat,normal
443,146,55,fat,thin
444,167,48,thin,fat
445,177,76,normal,fat
446,125,50,fat,thin
447,177,70,normal,fat
448,197,76,normal,normal
449,168,47,thin,normal
450,174,35,thin,fat
451,175,37,thin,normal
452,125,45,fat,thin
453,190,59,thin,normal
454,156,38,thin,normal
455,136,75,fat,normal
456,178,59,normal,thin
457,138,77,fat,fat
458,176,63,normal,thin
459,140,50,fat,thin
460,158,66,fat,thin
461,197,61,thin,fat
462,176,74,normal,normal
463,165,51,normal,normal
464,135,39,normal,thin
465,173,48,thin,thin
466,135,40,normal,thin
467,160,48,normal,thin
468,193,41,thin,thin
469,149,80,fat,fat
470,123,46,fat,fat
471,186,74,normal,normal
472,142,47,normal,fat
473,136,64,fat,normal
474,165,45,thin,fat
475,187,80,normal,normal
476,126,42,fat,normal
477,163,71,fat,fat
478,197,76,normal,thin
479,195,76,normal,thin
480,198,59,thin,normal
481,144,50,normal,normal
482,174,76,fat,fat
483,170,76,fat,fat
484,142,79,fat,fat
485,194,38,thin,normal
486,188,64,thin,normal
487,156,64,fat,fat
488,161,35,thin,thin
489,136,49,fat,normal
490,164,51,normal,normal
491,167,60,normal,fat
492,144,80,fat,thin
493,148,55,fat,thin
494,186,72,normal,normal
495,127,61,fat,fat
496,138,65,fat,normal
497,138,35,thin,fat
498,187,61,thin,fat
499,125,54,fat,normal
500,146,60,fat,thin
501,187,62,thin,thin
502,140,44,normal,normal
503,165,35,thin,fat
504,195,35,thin,fat
505,162,66,fat,fat
506,124,71,fat,normal
507,170,69,normal,normal
508,187,43,thin,normal
509,172,39,thin,normal
510,143,57,fat,thin
511,195,53,thin,fat
512,175,46,thin,normal
513,164,55,normal,fat
514,198,60,thin,normal
515,160,51,normal,fat
516,182,52,thin,normal
517,123,47,fat,fat
518,197,60,thin,normal
519,159,48,normal,normal
520,141,78,fat,normal
521,136,77,fat,fat
522,157,54,normal,thin
523,130,53,fat,normal
524,190,42,thin,fat
525,129,61,fat,fat
526,159,74,fat,fat
527,149,48,normal,thin
528,149,62,fat,normal
529,137,79,fat,thin
530,143,71,fat,normal
531,191,39,thin,thin
532,163,65,normal,fat
533,197,52,thin,fat
534,163,43,thin,normal
535,198,40,thin,fat
536,161,51,normal,fat
537,188,61,thin,thin
538,131,47,fat,normal
539,184,43,thin,fat
540,198,38,thin,normal
541,175,36,thin,thin
542,120,44,fat,fat
543,182,38,thin,thin
544,196,62,thin,fat
545,131,61,fat,thin
546,171,59,normal,thin
547,147,52,normal,normal
548,190,55,thin,fat
549,132,48,fat,fat
550,174,58,normal,normal
551,130,56,fat,normal
552,158,48,normal,thin
553,139,54,fat,thin
554,196,53,thin,normal
555,176,60,normal,normal
556,146,62,fat,thin
557,197,63,thin,thin
558,168,42,thin,thin
559,158,64,fat,fat
560,124,73,fat,normal
561,124,53,fat,normal
562,198,53,thin,normal
563,122,69,fat,fat
564,162,56,normal,fat
565,188,62,thin,normal
566,147,75,fat,fat
567,168,60,normal,normal
568,158,76,fat,fat
569,157,39,thin,thin
570,156,55,normal,fat
571,148,36,thin,fat
572,139,68,fat,normal
573,164,58,normal,thin
574,169,35,thin,fat
575,197,70,thin,normal
576,197,49,thin,normal
577,123,47,fat,thin
578,159,66,fat,fat
579,165,43,thin,thin
580,182,60,thin,normal
581,124,63,fat,thin
582,156,40,thin,normal
583,133,37,normal,fat
584,192,70,normal,fat
585,121,48,fat,fat
586,194,70,normal,thin
587,160,60,normal,normal
588,194,53,thin,fat
589,188,74,normal,fat
590,199,46,thin,thin
591,140,58,fat,fat
592,141,49,normal,thin
593,192,58,thin,fat
594,149,70,fat,normal
595,126,57,fat,thin
596,150,49,normal,fat
597,180,44,thin,fat
598,186,41,thin,fat
599,193,76,normal,thin
600,121,72,fat,thin
601,134,35,normal,fat
602,184,38,thin,thin
603,144,59,fat,fat
604,122,41,fat,fat
605,187,53,thin,thin
606,148,37,thin,fat
607,130,53,fat,thin
608,193,72,normal,normal
609,191,52,thin,thin
610,182,54,thin,normal
611,199,66,thin,fat
612,154,71,fat,thin
613,164,67,normal,normal
614,152,70,fat,normal
615,175,53,thin,normal
616,195,77,normal,fat
617,176,38,thin,fat
618,186,48,thin,normal
619,197,65,thin,fat
620,161,78,fat,normal
621,163,35,thin,fat
622,198,58,thin,normal
623,122,60,fat,normal
624,143,67,fat,fat
625,155,38,thin,fat
626,129,61,fat,normal
627,131,43,fat,fat
628,146,70,fat,normal
629,196,39,thin,thin
630,173,55,thin,thin
631,200,54,thin,fat
632,148,55,fat,normal
633,135,45,normal,fat
634,149,76,fat,normal
635,146,46,normal,normal
636,130,47,fat,normal
637,169,75,fat,thin
638,163,50,normal,normal
639,161,71,fat,normal
640,141,50,fat,normal
641,174,64,normal,thin
642,149,51,normal,thin
643,139,54,fat,normal
644,137,78,fat,fat
645,135,65,fat,fat
646,139,57,fat,fat
647,131,48,fat,thin
648,138,72,fat,thin
649,169,61,normal,fat
650,195,76,normal,thin
651,184,53,thin,fat
652,134,40,normal,normal
653,182,41,thin,thin
654,131,42,normal,thin
655,187,52,thin,thin
656,166,60,normal,thin
657,138,74,fat,thin
658,120,51,fat,fat
659,125,71,fat,normal
660,139,63,fat,thin
661,139,41,normal,fat
662,125,56,fat,fat
663,184,78,normal,thin
664,135,45,normal,thin
665,186,74,normal,fat
666,172,46,thin,fat
667,198,39,thin,fat
668,155,59,normal,fat
669,121,46,fat,fat
670,128,40,normal,normal
671,135,35,normal,fat
672,200,53,thin,normal
673,176,40,thin,thin
674,181,35,thin,thin
675,123,49,fat,thin
676,147,36,thin,normal
677,130,44,fat,fat
678,146,65,fat,fat
679,121,51,fat,thin
680,192,65,thin,thin
681,181,76,normal,thin
682,151,79,fat,fat
683,139,41,normal,normal
684,182,80,normal,fat
685,143,60,fat,normal
686,153,68,fat,normal
687,197,60,thin,normal
688,125,57,fat,normal
689,135,43,normal,normal
690,167,49,thin,thin
691,179,68,normal,thin
692,197,55,thin,fat
693,187,55,thin,thin
694,148,48,normal,fat
695,143,80,fat,fat
696,144,44,normal,thin
697,163,59,normal,fat
698,157,36,thin,thin
699,142,66,fat,thin
700,148,45,normal,fat
701,149,74,fat,thin
702,153,55,normal,thin
703,154,53,normal,thin
704,194,66,thin,thin
705,153,72,fat,thin
706,178,57,thin,fat
707,166,65,normal,fat
708,168,51,thin,fat
709,126,64,fat,fat
710,132,35,normal,normal
711,166,79,fat,fat
712,174,38,thin,thin
713,189,63,thin,fat
714,152,42,thin,normal
715,167,49,thin,normal
716,191,52,thin,fat
717,129,80,fat,fat
718,120,41,fat,fat
719,144,69,fat,fat
720,195,49,thin,thin
721,176,35,thin,normal
722,142,76,fat,thin
723,120,76,fat,thin
724,167,35,thin,thin
725,141,75,fat,thin
726,172,62,normal,fat
727,154,70,fat,thin
728,199,72,thin,thin
729,178,70,normal,thin
730,138,64,fat,normal
731,197,62,thin,fat
732,129,61,fat,fat
733,193,60,thin,normal
734,135,40,normal,normal
735,161,46,thin,normal
736,174,61,normal,fat
737,142,60,fat,normal
738,127,61,fat,thin
739,176,77,normal,fat
740,200,64,thin,thin
741,143,49,normal,normal
742,126,49,fat,normal
743,199,61,thin,thin
744,175,38,thin,normal
745,191,48,thin,normal
746,184,66,normal,fat
747,182,69,normal,fat
748,185,35,thin,fat
749,129,58,fat,normal
750,195,74,normal,normal
751,187,68,normal,thin
752,132,57,fat,thin
753,120,51,fat,fat
754,192,37,thin,fat
755,167,54,normal,thin
756,156,47,normal,normal
757,172,64,normal,normal
758,152,41,thin,thin
759,175,43,thin,fat
760,188,79,normal,fat
761,165,66,normal,fat
762,154,56,normal,normal
763,196,47,thin,thin
764,143,43,normal,fat
765,143,35,thin,thin
766,174,50,thin,normal
767,196,62,thin,fat
768,155,43,thin,thin
769,130,39,normal,fat
770,171,60,normal,thin
771,177,78,normal,fat
772,172,76,fat,thin
773,141,78,fat,thin
774,131,37,normal,normal
775,155,48,normal,fat
776,174,38,thin,thin
777,151,65,fat,fat
778,159,35,thin,fat
779,152,78,fat,normal
780,178,69,normal,fat
781,150,69,fat,normal
782,180,38,thin,fat
783,180,62,normal,normal
784,173,53,thin,thin
785,195,56,thin,fat
786,139,52,fat,normal
787,132,35,normal,normal
788,151,40,thin,normal
789,182,64,normal,thin
790,189,55,thin,thin
791,122,38,fat,thin
792,139,75,fat,thin
793,185,37,thin,thin
794,146,50,normal,fat
795,161,67,fat,fat
796,125,73,fat,thin
797,151,62,fat,fat
798,197,65,thin,fat
799,160,42,thin,thin
800,185,71,normal,normal
801,160,35,thin,normal
802,185,60,thin,fat
803,136,61,fat,thin
804,197,40,thin,thin
805,184,62,thin,thin
806,171,64,normal,normal
807,199,60,thin,thin
808,152,53,normal,fat
809,193,37,thin,thin
810,175,76,normal,thin
811,148,60,fat,fat
812,172,48,thin,thin
813,153,37,thin,thin
814,187,67,normal,normal
815,153,74,fat,thin
816,142,37,thin,normal
817,153,64,fat,normal
818,154,63,fat,normal
819,148,46,normal,normal
820,182,37,thin,fat
821,135,70,fat,normal
822,142,69,fat,fat
823,189,48,thin,fat
824,123,59,fat,normal
825,182,60,thin,normal
826,159,71,fat,normal
827,124,53,fat,fat
828,185,65,normal,normal
829,164,47,thin,fat
830,126,67,fat,normal
831,121,45,fat,normal
